Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,240.7325,-104.14,0.0,top
C10,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,194.981363,-126.350165,0.0,top
C11,10nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,195.58,-93.4125,90.0,top
C12,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,195.58,-99.06,0.0,top
C13,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,240.7325,-119.38,0.0,top
C14,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,223.52,-99.6275,90.0,top
C15,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,223.52,-94.5475,90.0,top
C2,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,240.7325,-106.68,0.0,top
C3,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,240.7325,-111.19,0.0,top
C4,2.2 uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,186.793863,-83.737665,90.0,top
C5,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,184.253863,-83.170165,90.0,top
C6,10nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,192.7825,-88.59,0.0,top
C7,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,191.306363,-121.270165,0.0,top
C8,2.2 uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,195.0125,-96.52,0.0,top
C9,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,196.386363,-121.270165,0.0,top
CN1,B2B-PH-K-S(LF)(SN),CONN-TH_B2B-PH-K-S,247.38,-127.0,0.0,top
D1,D_Schottky,D_SMA,217.685,-105.03,0.0,top
J1,Conn_02x16_Odd_Even,PinHeader_2x16_P2.54mm_Vertical,219.71,-125.73,-90.0,top
LED1,KT-0603R,LED0603-RD,253.2005,-88.9001,0.0,top
Q1,AO3401A,SOT-23,217.5025,-93.98,0.0,top
R1,75k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,228.0025,-104.14,0.0,top
R10,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,253.4025,-121.92,0.0,top
R11,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,248.3225,-88.9,0.0,top
R12,2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,246.38,-85.7625,90.0,top
R13,5.6k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,238.76,-81.28,90.0,top
R14,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,231.7375,-114.3,0.0,top
R2,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,224.1175,-104.13,0.0,top
R3,47k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,224.6975,-82.63,0.0,top
R4,1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,203.51,-79.98,90.0,top
R5,1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,203.51,-86.05,90.0,top
R6,1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,185.243863,-106.030165,180.0,top
R7,1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,191.873863,-106.030165,0.0,top
R8,6.8k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,243.84,-114.3,90.0,top
R9,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,243.2425,-121.92,0.0,top
U1,DRV8833PWP,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP,206.41,-96.52,0.0,top
U10,LM7805S/TR,TO-263-3_L8.6-W10.2-P2.54-LS14.4-BR,234.539945,-96.52,0.0,top
U11,TC4056A,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BR-EP3.3,251.459924,-81.120074,-90.0,top
U12,DRV8833PWP,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP,195.58,-83.8351,90.0,top
U13,INA219AIDCNR,SOT-23-8_L3.0-W1.7-P0.65-LS2.8-BR,234.9061,-120.3551,0.0,top
U14,MMBT2222A_C8512,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,237.76,-85.41,0.0,top
U2,MT3608,SOT-23-6,227.4625,-110.17,0.0,top
U3,AP2112K-3.3,SOT-23-5,224.9225,-117.79,0.0,top
U4,TPS22929D,SOT-23-6,201.7975,-118.730165,0.0,top
U5,TPS22929D,SOT-23-6,209.6825,-117.79,0.0,top
U7,K3-1391B-51,SW-TH_K3-1391B-51,215.9,-83.945,180.0,top
U8,FUC-24F11-SNLB1,USB-C-SMD_C67380,250.0145,-97.11,90.0,top
U9,CH224K,ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,248.920076,-114.3,0.0,top
